Name,Link,Prelim Time,Main Time,End Time
UFC Fight Night,https://www.ufc.com/event/ufc-fight-night-february-25-2023,2023-02-26T02:30:00+05:30,2023-02-26T05:30:00+05:30,2023-02-26T08:30:00+05:30
UFC-285,https://www.ufc.com/event/ufc-285,2023-03-05T04:45:00+05:30,2023-03-05T08:30:00+05:30,2023-03-05T11:30:00+05:30
UFC Fight Night,https://www.ufc.com/event/ufc-fight-night-march-11-2023,2023-03-12T02:30:00+05:30,2023-03-12T04:30:00+05:30,2023-03-12T07:30:00+05:30
UFC-286,https://www.ufc.com/event/ufc-286,2023-03-18T22:30:00+05:30,2023-03-19T02:30:00+05:30,2023-03-19T05:30:00+05:30
UFC Fight Night,https://www.ufc.com/event/ufc-fight-night-march-25-2023,2023-03-26T01:30:00+05:30,2023-03-26T04:30:00+05:30,2023-03-26T07:30:00+05:30
UFC-287,https://www.ufc.com/event/ufc-287,2023-04-09T03:30:00+05:30,2023-04-09T07:30:00+05:30,2023-04-09T10:30:00+05:30
UFC Fight Night,https://www.ufc.com/event/ufc-fight-night-april-15-2023,2023-04-16T03:00:00+05:30,2023-04-16T06:00:00+05:30,2023-04-16T09:00:00+05:30
